"Mobile Bridge","Mobile Bridge"
"General Settings","Configuración general"
"Access Settings","Configuración del acceso"
"Login","Usuario"
"Password","Contraseña"
"Enabled","Activada"
"URL in Your mobile application should looks like:","URL en Su aplicación móvil debe ser:"
"Login for accessing Mobile Assistant Connector from Your mobile application.","Nombre de usuario para acceder a Mobile Assistant Сonector desde su aplicación móvil."
"Password for accessing Mobile Assistant Connector from Your mobile application. Default password is '1'. Please change it to your own one.","Сontraseña para acceder a Mobile Assistant Сonector desde su aplicación móvil. La contraseña predeterminada es "1". Crea una nueva contraseña."
"Default password is '1'. Please change it becouse of security reasons","La contraseña predeterminada es "1". Por razones de seguridad, se aconseja cambiar la contraseña."
"Login field cannot be empty.  Please specify Login.","El campo nombre de usuario no puede estar vacío. Por favor, teclee el nombre de usuario."
"Password field cannot be empty.  Please specify password.","El campo contraseña no puede estar vacío. Por favor, teclee la contraseña."
"Cannot get configuration value","No se puede obtener el valor de configuración"
"Registration ID cannot be empty","ID de registro no puede estar vacío"
"An error occurred!","Ha ocurrido un error!"
"Cannot create an invoice without products!","No puede crear una factura sin productos!"
"Cannot create an invoice!","No puede crear una factura!"
"Empty tracking number!","El número de seguimiento está vacío!"
"Current order cannot be shipped!","El pedido actual no puede ser enviado"
"Current order cannot be canceled!","El pedido actual no puede ser cancelado!"
"Current order cannot be holded!","El pedido actual no puede ser en suspenso!"
"Current order cannot be unholded!","El pedido actual no puede ser reasumido!"
"Current tracking number was not found","Número de seguimiento no puede ser encontrado"
"Current order does not have shipments!","Este pedido no tiene ningún envío"
"No order was found!","No se ha encontrado ningún pedido"
"Action is not set!","La accion no está definida"
"Order id cannot be empty!","ID de pedido no puede estar vacío"