"%s was successfully added to your shopping cart.","%s đã được thêm thành công vào giỏ hàng của bạn."
"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng."
"&laquo; Back to Billing Information","&laquo; Quay lại thông tin hóa đơn"
"&laquo; Back to Select Addresses","&laquo; Quay lại để lựa chọn địa chỉ"
"&laquo; Back to Shopping Cart","&laquo; Quay lại để mua hàng"
"* Required Fields","* Trường bắt buộc"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm mới điều kiện"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào mục Mong muốn"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After adding a product redirect to shopping cart","Sau khi thêm 1 sản phẩm thì chuyển đến giỏ hàng"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Đã đăng ký?"
"An error occurred in the process of payment","Có lỗi xảy ra khi xử lý thanh toán"
"Apply Coupon","Áp dụng"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn xóa sản phẩm này từ giỏ hàng?"
"Back","Quay lại"
"Back to Shipping Information","Quay lại thông tin vận chuyển"
"Based on your selection, you may be interested in the following items:","Dựa trên lựa chọn của bạn, bạn có thể thấy thú vị trong sản phẩm theo đó:"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin thanh toán"
"Billing Information - %s","Thông tin thanh toán - %s"
"Can not add item to shopping cart","Không thể thêm mục vào giỏ mua hàng"
"Can not apply coupon code.","Không thể áp dụng phiếu mua hàng."
"Can't open overview page","Không thể mở trang xem trước"
"Cancel Coupon","Hủy bỏ Mã giảm giá"
"Cannot remove item","Không thể xóa mục"
"Cannot update shopping cart","Không thể cập nhật giỏ hàng"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Tổng tiền:"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ hóa đơn"
"Checkbox text","Checkbox text"
"Checkout",Thanh toán"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Options","Lựa chọn thanh toán"
"Checkout Section","Thanh toán Section"
"Checkout Terms and Conditions","Điều khoản thanh toán"
"Checkout as Guest","Thanh toán như Khách"
"Checkout as a Guest or Register","Thanh toán như Khách hoặc đăng ký"
"Checkout method","Phương thức thanh toán"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
"City","Thành phố"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Bấm <a href=""%s"" onclick=""this.target='_blank'"">vào đây để in</a> một bản sao xác nhận đơn hàng của bạn."
"Close","Đóng"
"Company","Công ty"
"Condition Name","Tên điều kiện"
"Condition was successfully deleted","Điều kiện đã được xóa thành công"
"Condition was successfully saved","Điều kiện đã được lưu thành công"
"Configurable product image","Cấu hình ảnh sản phẩm"
"Confirm Password","Nhập lại mật khẩu"
"Content","Nội dung"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to Billing Information","Tiếp tục đến thông tin thanh toán"
"Continue to Review Your Order","Tiếp tục đến xem trước đơn hàng của bạn"
"Continue to Shipping Information","Tiếp tục đến thông tin vận chuyển"
"Country","Đất nước"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không đúng."
"Coupon code ""%s"" was applied successfully.","Mã giảm giá ""%s"" đã áp dụng thành công."
"Coupon code was canceled successfully.","Mã giảm giá đã thoát thành công."
"Create Billing Address","Tạo địa chỉ thanh toán"
"Create Shipping Address","Tạo địa chỉ vận chuyển"
"Customer Address is not valid.","Địa chỉ khách hàng không đúng."
"Data saving problem","Data saving problem"
"Default Billing","Thanh toán mặc định"
"Default Shipping","Vận chuyển mặc định"
"Delete Condition","Xóa điều kiện"
"Details","Chi tiết"
"Disable Onepage Checkout","Hiển thị Onepage thanh toán"
"Disabled","Ẩn"
"Discount Codes","Nhập mã giảm giá (nếu có)"
"Display Cart Summary","Hiển thị Summary giỏ hàng"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Hiển thị số lượng sản phẩm"
"Display number of items in cart","Hiển thị số của sản phẩm trong giỏ hàng"
"Easy access to your order history and status","Dễ dàng truy cập đến lịch sử và trạng thái đơn hàng của bạn"
"Edit","Chỉnh sửa"
"Edit Address","Chỉnh sửa địa chỉ"
"Edit Billing Address","Chỉnh sửa địa chỉ hóa đơn"
"Edit Items","Chỉnh sửa Items"
"Edit Shipping Address","Chỉnh sửa địa chỉ vận chuyển"
"Edit Terms and Conditions","Chỉnh sửa điều khoản và điều kiện"
"Edit Your Cart","Chỉnh sửa giỏ hàng của bạn"
"Email Address","Địa chỉ Email"
"Enable Terms and Conditions","Hiển thị Điều kiện và điều khoản"
"Enabled","Hiển thị"
"Enter a New Address","Nhập 1 địa chỉ mới"
"Enter your coupon code if you have one.","Nếu bạn có mã giảm giá, hãy nhập vào đây và bấm nút &quot;Áp dụng&quot;".
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot an Item?","Forgot an Item?"
"Forgot your password?","Quên mật khẩu của bạn?"
"Get a Quote","Get a Quote"
"Grand Total:","Tính tổng:"
"Grouped product image","Grouped product image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Invalid data"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Invalid shipping method."
"Items","Items"
"Load customer quote error","Load customer quote error"
"Loading next step...","Loading next step..."
"Login","Đăng nhập"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Số lượng tối đa cho phép vận chuyển nhiều địa chỉ là %s"
"Move to Wishlist","Chuyển đến mục ưa thích"
"My Account","Tài khoản của tôi"
"My Cart","Giỏ hàng"
"My Cart (%s item)","Giỏ hàng (%s sản phẩm)"
"My Cart (%s items)","Giỏ hàng (%s sản phẩm)"
"My Cart (<span>%s</span>)","Giỏ hàng (<span>%s</span>)"
"My Cart (<span>0</span>)","Giỏ hàng (<span>0</span>)"
"My Cart Link","Liên kết giỏ hàng của tôi"
"New Address","Địa chỉ mới"
"New Condition","Điều kiện mới"
"Order #","Đơn hàng #"
"Order Review","Xem trước đơn hàng"
"Order Success","Đặt hàng thành công"
"Other items in your order","Các mục khác trong đơn hàng của bạn"
"Password","Mật khẩu"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Thông tin thanh toán"
"Payment Method","Phương thức thanh toán"
"Payment method is not defined","Phương thức thanh toán không được xác định"
"Place Order","Đặt hàng"
"Position","Vị trí"
"Please <a href=""%s"">continue shopping</a>.","Vui lòng <a href=""%s"">tiếp tục mua hàng</a>."
"Please agree to all Terms and Conditions before placing the order.","Xin vui lòng đồng ý với tất cả các Điều khoản và Điều kiện trước khi đặt lệnh."
"Please agree to all Terms and Conditions before placing the orders.","Xin vui lòng đồng ý với tất cả các Điều khoản và Điều kiện trước khi đặt các đơn đặt hàng."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Xin vui lòng nhập một mã vùng hợp lệ.Ví dụ 90602 hoặc 90602-1234."
"Please log in below:","Vui lòng đăng nhập bên dưới:"
"Please select region, state or province","Vui lòng lựa chọn khu vực, tiểu bang hoặc tỉnh"
"Please select shipping address for applicable items","Vui lòng lựa chọn phương thức vận chuyển cho các ứng dụng "
"Please select shipping methods for all addresses","Vui lòng lựa chọn phương thức vận chuyển cho tất cả địa chỉ"
"Price","Giá"
"Proceed to Checkout","Thanh toán"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product does not exist","Sản phẩm không tồn tại"
"Qty","Số lượng"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recently added item(s)","Bạn đang đặt mua các sản phẩm:"
"Register","Đăng ký"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Register to Create an Account","Đăng ký để tạo 1 tài khoản"
"Register with us for future convenience:","Đăng ký với chúng tôi"
"Remove","Xóa"
"Remove Item","Xóa sản phẩm"
"Remove Product","Xóa sản phẩm"
"Remove item","Xóa sản phẩm"
"Review Order","Xem trước đơn hàng"
"Review Order - %s","Xem trước đơn hàng - %s"
"Sales","Bán hàng"
"Save Condition","Lưu điều kiện"
"Save in address book","Lưu vào danh sách địa chỉ"
"Select Address","Lựa chọn địa chỉ"
"Select Addresses","Lựa chọn địa chỉ"
"Select Shipping Method","Lựa chọn phương thức vận chuyển"
"Select State/Province...","Lựa chọn Tỉnh..."
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh toán từ sổ địa chỉ của bạn hoặc nhập một địa chỉ mới."
"Select a shipping address from your address book or enter a new address.","Chọn một địa chỉ vận chuyển từ sổ địa chỉ của bạn hoặc nhập một địa chỉ mới."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Gửi đến"
"Ship to Multiple Addresses","Vận chuyển đến nhiều địa chỉ"
"Ship to different address","Vận chuyển đến địa chỉ khác"
"Ship to this address","Vận chuyển đến địa chỉ này"
"Shipping Address","Địa chỉ giao hàng"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Giao hàng"
"Shipping method","Giao hàng"
"Shipping Methods","Các phương thức vận chuyển"
"Shipping method has not been selected yet","Phương thức vận chuyển chưa được lựa chọn"
"Shipping selection is not applicable","Không áp dựng lựa chọn vận chuyển"
"Shipping to","Vận chuyển đến"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Sidebar","Giỏ hàng Sidebar"
"Shopping Cart is Empty","Giỏ hàng trống"
"Show Content as","Hiển thị nội dung dưới dạng"
"Some of the products you requested are not available in the desired quantity","Một số sản phẩm bạn yêu cầu không có sẵn với số lượng mong muốn"
"Some of the products you requested are unavailable","Một số sản phẩm bạn yêu cầu không có sẵn"
"Sorry, Onepage Checkout is disabled.","Rất tiếc, Thanh toán Onepage không được bật"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Rất tiếc, thanh toán cho khách không được kích hoạt. Vui lòng thử lại hoặc liên hệ với cửa hàng của chúng tôi."
"Sorry, no quotes are available for this order at this time.","Vui lòng nhập đầy đủ thông tin địa chỉ giao hàng để tính toán chi phí."
"State/Province","Thành phố/Tỉnh"
"Status","Trạng thái"
"Store View","Store View"
"Street Address","Địa chỉ"
"Street Address ","Địa chỉ "
"Submitting order information...","Đang gửi thông tin thanh toán..."
"Subtotal","Tổng"
"Telephone","Điện thoại"
"Terms and Conditions","Điều khoản và Điều kiện"
"Terms and Conditions Information","Điều khoản và Điều kiện"
"Terms and conditions","Điều khoản và Điều kiện"
"Text","Text"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Có <a href=""%s""><strong>%s sản phẩm</strong></a> trong giỏ hàng của bạn."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Có <a href=""%s""><strong>1 sản phẩm</strong></a> trong giỏ hàng của bạn."
"There is already a customer registered using this email address","Có 1 khách hàng đã đăng ký sử dụng địa chỉ email này"
"There was an error processing your order. Please contact us or try again later.","Có lỗi khi xử lý đơn hàng của bạn . Vui lòng liên hệ với chúng tôi hoặc quay lại sau"
"This condition no longer exists","Tình trạng này không còn tồn tại"
"Total","Tổng"
"Total for this address","Tổng số cho địa chỉ này"
"Unit Price","Giá tiền"
"Update Qty &amp; Addresses","Cập nhật số lượng &amp; Địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Cập nhật tổng"
"Use Billing Address","Sử dụng địa chỉ thanh toán"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Chúng tôi đang xử lý đơn đặt hàng của bạn và bạn sẽ sớm nhận được một email với các chi tiết của đơn hàng. Một khi các lệnh đã được vận chuyển, bạn sẽ nhận được một email với một liên kết để theo dõi sự tiến bộ của nó."
"You have no items in your shopping cart.","Bạn chưa có sản phẩm nào trong giỏ hàng"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Chúng tôi sẽ liên hệ với bạn ngay sau khi nhận được đơn hàng này."
"Your Checkout Progress","Xử lý thanh toán của bạn"
"Your order # is: %s","Số đơn hàng của bạn # is: %s"
"Your order # is: <a href=""%s"">%s</a>","Đơn hàng của bạn # is: <a href=""%s"">%s</a>"
"Your order has been received","Đặt hàng thành công"
"Your order number is ","Số đơn hàng của bạn là "
"Zip/Postal Code","Zip/Postal Code"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Giỏ hàng"
"You have no items in your shopping cart.","Bạn chưa có sản phẩm nào trong giỏ hàng."
"Checkout","Thanh toán"
"Shopping Cart is Empty","Giỏ hàng trống"
"Please <a href=""%s"">continue shopping</a>.","Vui lòng <a href=""%s"">tiếp tục mua hàng</a>."
"I want buy:","Tôi muốn mua:"
"Already registered? Click here to login.","Bạn đã có tài khoản? Vui lòng click vào đây để đăng nhập"
"Checkout","Thanh toán"
"Create an account for later use","Tạo tài khoản để đăng nhập lần sau"
"Ship to the same address",""Vận chuyển đến địa chỉ như trên
"Shipping address","Địa chỉ vận chuyển"
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Click vào đây</a> để tiếp tục mua hàng."
"Your order # is: %s.","Số đơn hàng của bạn: #%s."
"Your order has been received.","Đặt hàng thành công."
"Billing address","Địa chỉ giao hàng"
"Gender","Giới tính"
"Payment method","Phương thức thanh toán"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Tôi đồng ý với <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Điều khoản sử dụng</a>"
"Subscribe to newsletter","Đăng ký nhận email về sản phẩm"
"Create an Account","Tạo tài khoản để đăng nhập lần sau"
"Or use your Gift Card balance.","Hoặc sử dụng số dư trong thẻ mua hàng."
"Updating information, please wait...","Yêu cầu của bạn đang được xử lý, vui lòng đợi..."
"You must login to use gifcard,do you want login now ?","Bạn phải đăng nhập để sử dụng thẻ mua hàng. Bạn có muốn đăng nhập ngay bây giờ?"
"Apply Giftcard","Áp dụng"